	gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10
sample1	12	21	4	130	18	0	16	54	49	3
sample2	1	44	2	63	11	10	70	32	57	9
sample3	4	4	11	180	21	3	28	34	65	2
sample4	1	10	2	100	44	9	28	16	33	9
sample5	1	11	6	135	16	2	32	29	31	5
sample6	0	8	2	36	26	3	36	42	42	17
sample7	0	14	17	159	11	19	39	22	38	6
sample8	2	19	11	60	19	2	41	83	46	12
sample9	5	19	9	66	7	3	13	25	52	3
sample10	18	11	8	157	35	0	31	52	37	10
sample11	3	19	13	145	4	8	28	41	5	3
sample12	7	28	7	51	39	0	23	54	55	11
sample13	3	9	4	128	36	2	25	28	66	6
sample14	23	12	9	48	18	7	22	65	35	21
sample15	6	36	12	154	28	6	9	8	23	2
sample16	37	14	7	96	23	0	20	64	28	12
sample17	1	28	11	202	18	11	34	12	46	9
sample18	26	11	3	136	5	1	8	44	54	11
sample19	5	19	0	267	51	18	47	52	31	12
sample20	1	18	5	66	46	2	26	62	62	8
sample21	3	9	1	110	10	12	41	62	52	5
sample22	6	14	1	61	12	11	18	26	36	22
sample23	2	23	5	118	32	8	13	21	35	16
sample24	17	21	1	71	22	0	47	128	38	15
sample25	1	18	3	73	46	14	14	56	53	10
sample26	24	22	1	201	4	2	25	100	25	6
sample27	0	22	20	157	14	5	19	68	29	7
sample28	7	18	7	119	58	20	16	22	14	23
sample29	1	15	8	114	14	0	18	75	35	17
sample30	1	40	0	140	18	2	18	41	51	2
sample31	10	31	2	205	15	14	16	74	55	0
sample32	0	37	0	94	42	2	35	94	40	10
sample33	7	12	5	73	16	3	28	34	74	38
sample34	4	8	3	81	27	2	39	17	84	7
sample35	3	7	8	324	33	4	30	82	28	7
sample36	2	13	3	110	51	4	15	48	33	7
sample37	5	16	5	304	35	3	53	56	75	31
sample38	0	13	14	113	40	12	15	65	34	13
sample39	3	28	1	146	28	3	45	36	65	10
sample40	13	25	13	110	17	2	21	59	33	9
sample41	1	22	11	131	14	3	11	41	12	0
sample42	7	13	7	70	12	1	80	33	23	9
sample43	3	30	4	178	29	3	19	54	41	4
sample44	21	13	7	161	18	13	20	46	50	13
sample45	1	5	6	145	10	2	41	44	36	11
sample46	0	12	0	39	14	0	24	28	66	9
sample47	10	21	11	88	21	14	29	33	28	13
sample48	3	21	2	178	42	10	34	66	48	10
sample49	15	25	6	63	10	6	47	18	35	7
sample50	4	26	2	137	10	1	22	52	36	11
sample51	10	24	3	102	14	8	11	22	54	2
sample52	13	40	0	102	41	2	51	81	28	25
sample53	12	32	30	80	18	7	34	14	15	2
sample54	9	18	1	43	16	0	11	41	33	32
sample55	4	21	1	115	36	6	15	32	12	8
sample56	3	52	0	42	51	8	21	25	57	12
sample57	9	38	3	171	20	9	34	20	59	17
sample58	36	40	0	51	61	9	17	40	65	42
sample59	14	21	2	89	42	4	30	37	24	29
sample60	3	30	4	90	44	0	30	19	33	3
sample61	5	15	1	72	30	4	40	48	16	21
sample62	2	54	3	26	54	0	57	57	29	6
sample63	8	17	5	134	34	6	15	45	6	7
sample64	16	7	3	89	30	11	22	28	43	13
sample65	4	7	4	70	27	17	10	27	58	11
sample66	16	26	5	89	80	0	27	84	45	18
sample67	16	19	3	84	18	15	48	47	21	3
sample68	8	14	1	70	46	16	15	69	61	26
sample69	3	35	3	124	59	2	44	30	51	4
sample70	29	12	1	88	42	4	10	55	44	41
sample71	20	5	3	96	11	0	48	26	26	5
sample72	7	20	13	28	19	3	58	24	37	19
sample73	6	41	7	119	9	3	33	16	36	30
sample74	10	61	1	101	17	6	86	63	21	8
sample75	8	27	3	88	14	7	23	36	36	3
sample76	5	13	1	27	41	2	24	29	37	7
sample77	5	13	1	149	13	1	63	86	42	2
sample78	10	7	4	48	47	3	27	60	34	8
sample79	9	40	0	102	16	12	15	38	38	30
sample80	25	36	1	61	46	3	57	31	21	4
sample81	5	34	7	203	42	1	60	12	30	3
sample82	2	25	5	94	50	2	16	28	30	7
sample83	8	19	5	108	37	3	29	24	22	15
sample84	11	22	1	125	23	10	20	46	31	0
sample85	17	4	1	78	39	2	12	34	10	1
sample86	4	71	2	78	15	1	40	26	19	20
sample87	9	29	6	80	50	0	12	17	20	8
sample88	12	55	5	90	31	8	28	59	51	9
sample89	10	47	3	99	14	8	26	12	23	10
sample90	5	11	1	87	33	0	41	27	22	39
sample91	0	31	11	119	50	10	4	28	15	13
sample92	9	43	4	86	41	0	20	32	45	1
sample93	5	13	12	112	21	3	31	22	24	31
sample94	27	12	0	89	86	0	18	39	72	28
sample95	2	24	1	73	31	12	27	33	67	4
sample96	7	26	3	67	11	4	41	44	54	1
sample97	1	14	3	71	33	5	19	42	25	4
sample98	10	36	2	72	11	2	66	27	16	9
sample99	18	14	3	66	53	11	32	19	79	11
sample100	21	9	3	42	13	13	19	78	30	5
